Count of text_general_code,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,Disorderly Conduct,DRIVING UNDER THE INFLUENCE,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Criminal ,Homicide - Justifiable ,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Grand Total
Jan,358,364,987,44,102,304,13,138,10,18,809,,45,5,,2,318,383,32,1734,53,,1,77,4,245,238,1163,2024,,1141,418,11030
Feb,240,309,944,47,115,209,34,156,3,5,821,,24,3,,6,208,373,28,1479,47,1,6,66,1,136,167,764,1356,2,784,301,8635
Mar,336,411,1188,56,92,277,34,163,15,7,883,1,37,6,,5,314,455,29,1793,53,,4,75,3,142,168,1042,1694,1,1006,335,10625
Apr,300,434,908,58,110,255,37,124,11,28,623,4,45,6,,15,623,330,21,2053,80,,13,63,64,116,173,758,1708,,1154,347,10461
May,317,474,952,67,111,272,40,173,9,12,602,6,43,1,,15,615,368,14,1990,76,1,8,56,70,127,237,828,1934,,1244,315,10977
Jun,319,482,941,47,128,305,33,169,16,12,718,,46,10,,11,654,309,9,2089,71,,8,63,75,127,181,844,2058,1,1218,265,11209
Jul,346,466,850,51,109,320,40,130,7,20,1026,,40,8,,7,736,347,10,2112,85,,5,68,82,154,190,964,2203,1,1257,300,11934
Aug,327,492,832,66,146,313,33,122,13,16,734,,30,7,1,13,785,279,7,2141,88,16,15,61,67,174,226,1093,2209,3,1223,277,11809
Sep,331,486,829,47,174,356,46,139,10,17,678,,50,5,,5,860,272,10,2183,69,6,4,64,69,205,223,1152,2349,1,1222,305,12167
Oct,318,446,949,59,136,435,47,83,13,23,649,,36,10,,5,947,298,4,2437,91,14,2,55,91,301,237,1366,2588,,1282,279,13201
Nov,254,399,821,43,186,332,24,91,13,19,608,,48,4,,5,862,256,8,2082,75,13,1,67,59,295,243,1212,2243,,1090,229,11582
Dec,304,345,749,42,157,356,26,68,13,28,645,1,46,6,,3,858,187,15,1950,79,11,2,42,71,396,241,1295,2262,1,1057,228,11484
Grand Total,3750,5108,10950,627,1566,3734,407,1556,133,205,8796,12,490,71,1,92,7780,3857,187,24043,867,62,69,757,656,2418,2524,12481,24628,10,13678,3599,135114
