Count of text_general_code,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,Disorderly Conduct,DRIVING UNDER THE INFLUENCE,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Criminal ,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Grand Total
Jan,278,335,726,38,165,276,26,49,16,32,507,,39,5,5,936,200,8,1809,63,23,2,43,92,350,211,1088,2076,1,986,244,10629
Feb,248,344,886,42,150,265,31,72,19,43,557,,32,8,7,862,252,4,1849,72,14,7,47,72,232,192,939,2016,,990,229,10481
Mar,298,424,1034,30,169,329,20,80,21,43,559,,35,3,1,833,305,12,2224,95,27,4,49,77,171,219,1131,2417,1,1135,242,11988
Apr,339,417,1064,39,164,309,23,77,33,31,621,1,31,3,9,796,278,14,2123,108,25,6,50,64,202,228,1173,2502,2,1190,255,12177
May,324,452,1103,42,191,319,24,118,20,29,572,,45,8,5,839,249,17,2425,119,48,1,57,62,227,275,1266,2810,,1296,265,13208
Jun,340,462,1094,41,170,359,17,83,13,50,618,,44,4,2,859,234,9,2310,106,12,12,50,69,260,280,1453,3022,,1313,270,13556
Jul,316,437,1143,43,202,352,23,88,11,52,666,,48,12,5,944,228,11,2311,64,9,,48,86,270,284,1496,3109,,1298,273,13829
Aug,320,431,1165,63,209,355,42,79,21,49,741,,43,4,2,1023,248,14,2093,110,33,3,44,102,262,242,1617,3237,,1331,327,14210
Sep,291,430,1065,59,206,327,48,91,34,43,747,,40,1,7,1010,221,11,2123,73,10,2,65,93,282,228,1446,3118,,1177,287,13535
Oct,322,399,1010,33,208,287,28,63,12,42,600,,38,2,6,1080,250,21,2135,81,8,6,43,100,253,260,1584,3096,,1252,260,13479
Nov,165,191,452,23,78,147,8,18,2,14,257,,8,2,3,584,113,8,869,37,13,2,27,52,132,87,575,1199,,559,125,5750
Grand Total,3241,4322,10742,453,1912,3325,290,818,202,428,6445,1,403,52,52,9766,2578,129,22271,928,222,45,523,869,2641,2506,13768,28602,4,12527,2777,132842
